titulo,tipo_pi,centro/unidade,grande_area_conhecimento,area_conhecimento
"FARMASYNC: Gestão Web em consultas farmacêuticas","Registro de Software","CENTRO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE","Ciências da Saúde","Análise e Controle de Medicamentos"
"FILMES POLIMÉRICOS A BASE DE AMIDO DO CAROÇO DE ABACATE CONTENDO OU NÃO QUITOSANA E CONTENDO OU NÃO EXTRATO DE SEMENTES DE MANGABA FERMENTADA, PROCESSO E PRODUTO","Patente","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Agrárias","Aproveitamento de Subprodutos"
"EQUIPAMENTO PARA DEPOSIÇÃO DE FILMES VIA ROTA DE PIRÓLISE POR PULVERIZAÇÃO","Patente","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Exatas e da Terra","Superfícies e Interfaces; Películas e Filamentos"
"Composição farmacêutica microemulsionante contendo o óleo essencial de Cymbopogon","Patente","CENTRO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE","Ciências da Saúde","Farmacotecnia"
"OXIAPP","Registro de Software","CENTRO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE","Ciências da Saúde","Fisioterapia e Terapia Ocupacional"
"ARCHCE","Registro de Software","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Exatas e da Terra","Engenharia de Software"
"Petri Saúde","Marca","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências da Saúde","Medicina"
"SEI Peixe - Sistema Embarcado Integrado e de baixo custo para controle de aquicultura","Registro de Software","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Exatas e da Terra","Software Básico"
"DESENVOLVIMENTO E AVALIAÇÃO DE QUEIJO TIPO COALHO COM COBERTURAS COMESTÍVEIS ADICIONADAS DE EXTRATOS DE RESÍDUOS DE JAMELÃO","Patente","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Agrárias","Tecnologia de Alimentos"
"QUEIJO DE COALHO ADICIONADO DO PÓ OBTIDO DO FRUTO DO ARAÇÁ (Psidium cattleianum)","Patente","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Agrárias","Tecnologia de Produtos de Origem Animal"
"LIPOSSOMAS CONTENDO O SESQUITERPENO NEROLIDOL PARA O  TRATAMENTO DA HIPERTENSÃO ARTERIAL","Patente","CAMPUS DE LAGARTO","Ciências Biológicas","Farmacologia Cardiorenal"
"DISPOSIÇÃO CONSTRUTIVA EM SISTEMA MECÂNICO PARA COLETA DE AMOSTRAS INDEFORMADAS DE SOLO COM MÉTODO DE PRESERVAÇÃO ESTRUTURAL PARA ANÁLISES FÍSICAS","Patente","CENTRO DE CIÊNCIAS AGRÁRIAS APLICADAS","Ciências Agrárias","Física do Solo"
"PAVIMENTO SEMIRRÍGIDO COM SISTEMA ANTITRINCAMENTO PARA VIAS DE TRÁFEGO PESADO","Patente","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Engenharias","Pavimentos"
"E-HEALTH - Detecção de Queda","Registro de Software","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Exatas e da Terra","Sistemas de Informação"
"FORMULAÇÃO FARMACÊUTICA CONTENDO FLAVONOL PARA REPARAÇÃO TECIDUAL","Patente","CAMPUS DE LAGARTO","Ciências Biológicas","Farmacologia"
"GEL COM RUTINA PARA APLICAÇÃO DE ULTRASSOM TERAPÊUTICO","Patente","CENTRO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE","Ciências da Saúde","Fisioterapia e Terapia Ocupacional"
"COMPOSIÇÃO COSMÉTICA PARA OBTENÇÃO DE MÁSCARA FACIAL NANOESTRUTURADA","Patente","CENTRO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE","Ciências da Saúde","Farmacotecnia"
"PLATAFORMA DE ORÇAMENTO PARTICIPATIVO DIGITAL DECIDE BRASIL  APLICATIVO MÓVEL DECIDE BRASIL CIDADÃO","Registro de Software","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Exatas e da Terra","Software Básico"
"Sudopad","Marca","CENTRO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE","Ciências da Saúde","Neurologia"
"Wonder Little Mess","Desenho Industrial","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Exatas e da Terra","Ciência da Computação"
"PLATAFORMA DE ORÇAMENTO PARTICIPATIVO DIGITAL DECIDE BRASIL  SISTEMA ADMINISTRATIVO WEB DECIDE BRASIL MANAGER","Registro de Software","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Exatas e da Terra","Software Básico"
"ARCHCONCEPT","Registro de Software","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Exatas e da Terra","Engenharia de Software"
"OQGastei  Descubra seus Gastos","Registro de Software","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Exatas e da Terra","Teleinformática"
"EcoDiet sistema de análise de nutrientes e de emissão de gás carbônico da dieta","Registro de Software","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Exatas e da Terra","Teleinformática"
"Project Runners","Registro de Software","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Exatas e da Terra","Software Básico"
"SIDHUF","Registro de Software","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Exatas e da Terra","Sistemas de Informação"
"OncocareSystem","Registro de Software","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Exatas e da Terra","Software Básico"
"A Lenda do Quinto Sol","Registro de Software","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Exatas e da Terra","Engenharia de Software"
"Cozinha Virtual V2","Registro de Software","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Exatas e da Terra","Sistemas de Computação"
"Portal Legislativo Ambiental  LegisAmb","Registro de Software","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Exatas e da Terra","Ciência da Computação"
"IdosoFit","Registro de Software","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Exatas e da Terra","Sistemas de Informação"
"json2data v2.0.0","Registro de Software","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Exatas e da Terra","Sistemas de Informação"
"SAUCE v1.0.0","Registro de Software","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Exatas e da Terra","Sistemas de Informação"
"quizez v2.0.0","Registro de Software","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Exatas e da Terra","Sistemas de Informação"
"Produto farmacêutico antibacteriano","Patente","CENTRO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE","Ciências da Saúde","Farmácia"
"Solaris Mapper","Registro de Software","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Engenharias","Geração da Energia Elétrica"
"DIMENSIONAMENTO DE REATOR DE MANTA DE LODO COM FLUXO ASCENDENTE (UASB) PARA ESGOTOS DOMÉSTICOS","Registro de Software","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Engenharias","Saneamento Básico"
"MinhaAju - CrimesAmbientais","Registro de Software","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Exatas e da Terra","Ciência da Computação"
"VIDRO BORO, ALUMÍNIO, MAGNÉSIO E LÍTIO COM DOPAGEM OPCIONAL DE CÉRIO E RESPECTIVO PROCESSO DE OBTENÇÃO","Patente","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Exatas e da Terra","Física da Matéria Condensada"
"Batom com corante de resíduo de semente de urucum e  subproduto de manteiga clarificada, adicionado de óleo de Jatropha curcas","Patente","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Agrárias","Aproveitamento de Subprodutos"
